"","SITE","lat","DHW_Mean","DHW_MeanMax_Major","DHW_Dur","DHW_Dur_Major","DHW_Max_Major","DHW_Max_Major5","SST_AnnRange","SST_MonthRange","SST_Mean","SST_Q05","SST_Q95","SST_SD","SST_BiweekRange","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period","month","prop_DEAD"
"24","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,70,13.1064,60,50,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.5
"25","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,75,13.1064,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.9
"26","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,112.5,13.1064,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.9
"27","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,47.5,13.1064,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.95
"28","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,52.5,13.1064,60,65,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.65
"29","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,75,13.1064,60,80,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.8
"30","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,45,13.1064,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.95
"31","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,80,13.1064,60,40,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.4
"32","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,50,13.1064,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.9
"33","TUT-171",-14.332425,18.8915767669678,18.8915767669678,149,100,18.8915767669678,18.8915767669678,2.81049919128418,1.32291634877523,28.9750547853235,27.497399520874,30.4879997253418,0.947868022165371,0.932518570511429,2025-03-13,60,13.1064,60,96,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching",3,0.96
