"","SITE","SST_range","SST_Mean","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period"
"72","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",6,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"73","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",7,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"74","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",6,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"75","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",10,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"76","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",6,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"77","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",65,14.3256,60,98,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"78","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",14,14.3256,60,0,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"79","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",11,14.3256,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"80","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",97,14.3256,60,90,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"81","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",35,14.3256,60,65,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"82","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",105,14.3256,60,85,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"83","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",47,14.3256,60,95,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"84","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",120,13.1064,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"85","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",126,13.1064,60,60,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"86","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",50,13.1064,60,80,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"87","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",100,13.1064,60,80,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"88","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",70,13.1064,60,50,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"89","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",35,13.1064,60,95,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"90","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",75,13.1064,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"91","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",112.5,13.1064,60,90,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"92","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",30,13.1064,60,80,-14.332425,-170.824373,2025,"QMED","esa","Post-Bleaching"
"93","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",47.5,13.1064,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
"94","TUT-171",0.899066797892253,29.656781472795,"3/13/2025",117.5,13.1064,60,95,-14.332425,-170.824373,2025,"Q80","esa","Post-Bleaching"
