,YEAR,DATE_,SITE,LATITUDE.x,LONGITUDE.x,MAX_DEPTH_M.x,SURVEYAREA,COL_COUNT,YEAR.y,LATITUDE.y,LONGITUDE.y,MAX_DEPTH_M.y,DATE_formatted,DATE,month,DENSITY,removed_count,min_size,max_size,adjusted_colony_count,adjusted_density
56,2023,4/19/2023 10:59,TUT-05847,-14.3589,-170.7342,14.62969,15,0,2023,-14.3589,-170.7342,14.62969,4/19/2023,4/19/2023,4,0,NA,NA,NA,0,0
57,2023,4/17/2023 13:48,TUT-05853,-14.28321,-170.6246,12.19141,10,7,2023,-14.28321,-170.6246,12.19141,4/17/2023,4/17/2023,4,0.7,NA,NA,NA,7,0.7
58,2023,4/19/2023 9:11,TUT-05858,-14.34884,-170.723,16.76318,10,0,2023,-14.34884,-170.723,16.76318,4/19/2023,4/19/2023,4,0,NA,NA,NA,0,0
59,2023,4/12/2023 14:03,TUT-05860,-14.32705,-170.6944,10.36269,10,0,2023,-14.32705,-170.6944,10.36269,4/12/2023,4/12/2023,4,0,NA,NA,NA,0,0
60,2023,4/12/2023 12:38,TUT-05861,-14.30811,-170.6913,12.19141,10,0,2023,-14.30811,-170.6913,12.19141,4/12/2023,4/12/2023,4,0,NA,NA,NA,0,0
61,2023,4/12/2023 11:14,TUT-05862,-14.34212,-170.7196,12.80098,10,0,2023,-14.34212,-170.7196,12.80098,4/12/2023,4/12/2023,4,0,NA,NA,NA,0,0
62,2023,4/17/2023 12:07,TUT-05863,-14.28309,-170.607,12.80098,10,64,2023,-14.28309,-170.607,12.80098,4/17/2023,4/17/2023,4,6.4,NA,NA,NA,64,6.4
63,2023,4/12/2023 13:03,TUT-05864,-14.33746,-170.7125,9.448339,10,1,2023,-14.33746,-170.7125,9.448339,4/12/2023,4/12/2023,4,0.1,NA,NA,NA,1,0.1
64,2023,4/12/2023 14:15,TUT-05865,-14.30053,-170.675,10.36269,10,1,2023,-14.30053,-170.675,10.36269,4/12/2023,4/12/2023,4,0.1,NA,NA,NA,1,0.1
65,2023,4/8/2023 11:06,TUT-05876,-14.33024,-170.8126,10.66748,10,69,2023,-14.33024,-170.8126,10.66748,4/8/2023,4/8/2023,4,6.9,NA,NA,NA,69,6.9
66,2023,4/8/2023 13:34,TUT-05878,-14.33439,-170.8186,13.41055,10,5,2023,-14.33439,-170.8186,13.41055,4/8/2023,4/8/2023,4,0.5,NA,NA,NA,5,0.5
67,2023,4/8/2023 11:47,TUT-05884,-14.3359,-170.8031,13.41055,10,7,2023,-14.3359,-170.8031,13.41055,4/8/2023,4/8/2023,4,0.7,NA,NA,NA,7,0.7
68,2023,4/20/2023 13:59,TUT-05909,-14.28077,-170.545,14.02012,10,0,2023,-14.28077,-170.545,14.02012,4/20/2023,4/20/2023,4,0,NA,NA,NA,0,0
69,2023,4/19/2023 9:34,TUT-05935,-14.36427,-170.7383,15.23926,10,0,2023,-14.36427,-170.7383,15.23926,4/19/2023,4/19/2023,4,0,NA,NA,NA,0,0
70,2023,4/20/2023 14:49,TUT-05968,-14.2827,-170.545,13.10576,10,0,2023,-14.2827,-170.545,13.10576,4/20/2023,4/20/2023,4,0,NA,NA,NA,0,0
71,2023,4/19/2023 14:04,TUT-05975,-14.33703,-170.7108,9.753124,7.5,2,2023,-14.33703,-170.7108,9.753124,4/19/2023,4/19/2023,4,0.266666667,NA,NA,NA,2,0.266666667
72,2023,4/19/2023 10:36,TUT-05982,-14.3448,-170.7192,12.80098,12.5,0,2023,-14.3448,-170.7192,12.80098,4/19/2023,4/19/2023,4,0,NA,NA,NA,0,0
73,2023,4/19/2023 12:36,TUT-05990,-14.33876,-170.7172,13.71533,12.5,0,2023,-14.33876,-170.7172,13.71533,4/19/2023,4/19/2023,4,0,NA,NA,NA,0,0
74,2023,7/27/2023 10:36,TUT-05425,-14.36252,-170.7659,0,10,4,2023,-14.36252,-170.7659,0,7/27/2023,7/27/2023,7,0.4,NA,NA,NA,4,0.4
75,2025,,TUT-214,-14.28309,-170.607,14.3256,180,498,NA,NA,NA,NA,3/12/2025,3/12/2025,3,2.766666667,1,140,140,497,2.761111111
76,2025,,TUT-171,-14.332425,-170.824373,14.6304,180,207,NA,NA,NA,NA,3/13/2025,3/13/2025,3,1.15,10,117.5,170,197,1.094444444
77,2025,,TUT-216,-14.329052,-170.831801,14.0208,180,89,NA,NA,NA,NA,3/14/2025,3/14/2025,3,0.494444444,NA,NA,NA,89,0.494444444
78,2025,,TUT-083,-14.332102,-170.697197,14.3256,180,0,NA,NA,NA,NA,3/15/2025,3/15/2025,3,0,NA,NA,NA,0,0
